RealEstateLocation	RealEstateName	ItemName	ItemOwner	Status	ID	Count
Neighborhood	Chivalry Village, 116 Vanward Street	Monel Style Plaster Domicile, Wood Interior	Chaosreaper	Placed	61887	1
Neighborhood	Chivalry Village, 116 Vanward Street	Estate Storage Crate	Chaosreaper	Placed	62595	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Crude Defiant Plate Helm	Chaosreaper	Stored	50008	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Crude Defiant Plate Bracer	Chaosreaper	Stored	50005	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Crude Defiant Plate Bracer	Chaosreaper	Stored	50005	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Rough Defiant Chain Bracer	Chaosreaper	Stored	50068	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Rough Defiant Chain Bracer	Chaosreaper	Stored	50068	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Rough Defiant Chain Gauntlets	Chaosreaper	Stored	50069	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Rough Defiant Chain Leggings	Chaosreaper	Stored	50073	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Rough Defiant Leather Cap	Chaosreaper	Stored	50078	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Rough Defiant Plate Bracer	Chaosreaper	Stored	50061	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Rough Defiant Plate Boots	Chaosreaper	Stored	50063	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Rough Defiant Plate Gauntlets	Chaosreaper	Stored	50062	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Rough Defiant Plate Helm	Chaosreaper	Stored	50064	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Rough Defiant Plate Helm	Chaosreaper	Stored	50064	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Elaborate Adept's Hood	Chaosreaper	Stored	50436	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Elaborate Adept's Hood	Chaosreaper	Stored	50436	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Elaborate Combatant's Cloak	Chaosreaper	Stored	50427	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Elaborate Defiant Coldstone	Chaosreaper	Stored	50603	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Elaborate Defiant Chain Sleeves	Chaosreaper	Stored	50193	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Elaborate Defiant Plate Bracer	Chaosreaper	Stored	50179	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Elaborate Defiant Plate Gauntlets	Chaosreaper	Stored	50182	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Elaborate Defiant Plate Greaves	Chaosreaper	Stored	50186	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Elaborate Defiant Plate Wristband	Chaosreaper	Stored	50181	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Elaborate Defiant Silk Gloves	Chaosreaper	Stored	50207	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Elaborate Defiant Silk Sandals	Chaosreaper	Stored	50208	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Elaborate Defiant Silk Wristguard	Chaosreaper	Stored	50204	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Flawed Defiant Chain Coif	Chaosreaper	Stored	50127	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Flawed Defiant Chain Boots	Chaosreaper	Stored	50126	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Flawed Defiant Chain Coif	Chaosreaper	Stored	50127	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Flawed Defiant Chain Leggings	Chaosreaper	Stored	50129	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Flawed Defiant Chain Tunic	Chaosreaper	Stored	50130	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Flawed Defiant Chain Leggings	Chaosreaper	Stored	50129	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Flawed Defiant Charm	Chaosreaper	Stored	50585	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Flawed Defiant Silk Wristwrap	Chaosreaper	Stored	50138	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Intricate Defiant Chain Gauntlets	Chaosreaper	Stored	50156	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Intricate Defiant Chain Gauntlets	Chaosreaper	Stored	50156	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Intricate Defiant Chain Sleeves	Chaosreaper	Stored	50159	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Intricate Defiant Plate Vambraces	Chaosreaper	Stored	50151	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Intricate Defiant Plate Helm	Chaosreaper	Stored	50150	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Intricate Defiant Silk Sleeves	Chaosreaper	Stored	50176	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Ornate Defiant Chain Leggings	Chaosreaper	Stored	50101	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Ornate Defiant Cloth Gloves	Chaosreaper	Stored	50111	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Ornate Defiant Cloth Gloves	Chaosreaper	Stored	50111	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Ornate Defiant Plate Gauntlets	Chaosreaper	Stored	50090	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Ornate Defiant Plate Bracer	Chaosreaper	Stored	50089	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Ornate Defiant Plate Vambraces	Chaosreaper	Stored	50093	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Ornate Defiant Plate Gauntlets	Chaosreaper	Stored	50090	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Elegant Defiant Silk Pantaloons	Necrall	Stored	50245	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Intricate Defiant Silk Sleeves	Necrall	Stored	50176	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Intricate Defiant Chain Leggings	Kaalix	Stored	50160	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Ornate Defiant Harmonagate	Kaalix	Stored	50554	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Elaborate Defiant Chain Gauntlets	Kaalix	Stored	50190	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Intricate Defiant Chain Tunic	Kaalix	Stored	50161	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Elegant Defiant Chain Sleeves	Kaalix	Stored	50227	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Elaborate Defiant Chain Coif	Kaalix	Stored	50192	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Intricate Defiant Chain Bracer	Kaalix	Stored	50154	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Crude Defiant Chain Leggings	Kaalix	Stored	50017	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Elegant Defiant Plate Wristguard	Kaalix	Stored	50214	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Elegant Defiant Plate Wristband	Kaalix	Stored	50215	1
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Distillate of Skinspikes VI	Kaalix	Stored	96425	20
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Distillate of Skinspikes VI	Kaalix	Stored	96425	20
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Distillate of Skinspikes VI	Kaalix	Stored	96425	20
Plot	Chivalry Village, 116 Vanward Street, Three Room House	Distillate of Skinspikes VI	Kaalix	Stored	96425	20
